Player,Start,Now,+/-
Lukasz Fabianski (WHU),4.5,4.2,-0.3
Evan Ferguson (BHA),6.0,5.7,-0.3
Stefan Bajcetic (LIV),5.0,4.7,-0.3
Yoane Wissa (BRE),6.0,5.7,-0.3
Pascal Groß (BHA),6.5,6.2,-0.3
Josh Brownhill (BUR),5.0,4.7,-0.3
Matt Targett (NEW),4.5,4.2,-0.3
Josh Dasilva (BRE),5.0,4.7,-0.3
Elliot Anderson (NEW),4.5,4.2,-0.3
James Shea (LUT),4.5,4.2,-0.3
Carney Chukwuemeka (CHE),4.5,4.2,-0.3
Emiliano Buendía Stati (AVL),6.0,5.7,-0.3
Nathan Redmond (BUR),5.0,4.7,-0.3
Aaron Cresswell (WHU),4.5,4.2,-0.3
Stefan Ortega Moreno (MCI),4.0,3.7,-0.3
Dango Ouattara (BOU),5.0,4.7,-0.3
Gabriel Fernando de Jesus (ARS),8.0,7.7,-0.3
John Egan (SHU),4.5,4.2,-0.3
Matheus Luiz Nunes (MCI),5.0,4.7,-0.3
Jefferson Lerma Solís (CRY),5.0,4.7,-0.3
Arnaut Danjuma Groeneveld (EVE),5.5,5.2,-0.3
Lyle Foster (BUR),5.0,4.7,-0.3
Christian Nørgaard (BRE),5.5,5.2,-0.3
Cameron Archer (SHU),4.5,4.2,-0.3
Rico Lewis (MCI),4.5,4.2,-0.3
Facundo Buonanotte (BHA),5.0,4.7,-0.3
Keane Lewis-Potter (BRE),5.0,4.7,-0.3
Marc Guéhi (CRY),4.5,4.2,-0.3
Ross Barkley (LUT),5.0,4.7,-0.3
Michail Antonio (WHU),6.0,5.7,-0.3
Adam Webster (BHA),4.5,4.2,-0.3
Callum Hudson-Odoi (NFO),5.0,4.7,-0.3
Thiago Alcántara do Nascimento (LIV),5.0,4.7,-0.3
Giovanni Reyna (NFO),5.0,4.7,-0.3
Harry Maguire (MUN),4.5,4.2,-0.3
Danny Welbeck (BHA),6.0,5.7,-0.3
Enock Agyei (BUR),4.5,4.2,-0.3
Angelo Ogbonna (WHU),4.5,4.2,-0.3
Christopher Nkunku (CHE),7.5,7.2,-0.3
Jack Grealish (MCI),7.5,7.2,-0.3
Maxwel Cornet (WHU),5.5,5.2,-0.3
Sandro Tonali (NEW),5.5,5.2,-0.3
Anis Slimane (SHU),5.0,4.7,-0.3
Norberto Bercique Gomes Betuncal (EVE),6.0,5.7,-0.3
Lisandro Martínez (MUN),5.0,4.7,-0.3
João Pedro Junqueira de Jesus (BHA),5.5,5.2,-0.3
Morgan Gibbs-White (NFO),6.0,5.7,-0.3
Amadou Onana (EVE),5.0,4.7,-0.3
Manuel Benson Hedilazio (BUR),5.5,5.2,-0.3
Lewis Hall (NEW),4.5,4.2,-0.3
Zeki Amdouni (BUR),5.5,5.2,-0.3
Luke Shaw (MUN),5.5,5.2,-0.3
Harvey Barnes (NEW),6.5,6.2,-0.3
Radu Dragusin (TOT),4.5,4.2,-0.3
Philip Billing (BOU),5.5,5.1,-0.4
Michael Olise (CRY),6.0,5.6,-0.4
Justin Kluivert (BOU),5.0,4.6,-0.4
Solly March (BHA),6.5,6.1,-0.4
Mateo Kovačić (MCI),5.0,4.6,-0.4
Gabriel Martinelli Silva (ARS),8.0,7.6,-0.4
Divin Mubama (WHU),4.5,4.1,-0.4
Eberechi Eze (CRY),6.5,6.1,-0.4
Jurriën Timber (ARS),5.0,4.6,-0.4
Cody Gakpo (LIV),7.5,7.1,-0.4
Pelly Ruddock Mpanzu (LUT),5.0,4.6,-0.4
Luke Berry (LUT),5.0,4.6,-0.4
Sander Berge (BUR),5.0,4.6,-0.4
Tyrone Mings (AVL),4.5,4.1,-0.4
Marcus Tavernier (BOU),5.5,5.1,-0.4
Jason Steele (BHA),4.5,4.1,-0.4
Manor Solomon (TOT),5.5,5.1,-0.4
Pierre-Emile Højbjerg (TOT),5.5,5.1,-0.4
Youri Tielemans (AVL),6.0,5.6,-0.4
Miguel Almirón Rejala (NEW),6.5,6.0,-0.5
Raúl Jiménez (FUL),5.5,5.0,-0.5
Leandro Trossard (ARS),7.0,6.5,-0.5
Scott McTominay (MUN),5.0,4.5,-0.5
Danny Ings (WHU),6.0,5.5,-0.5
Moisés Caicedo Corozo (CHE),5.0,4.5,-0.5
Julio Enciso (BHA),5.5,5.0,-0.5
Tino Livramento (NEW),4.5,4.0,-0.5
Tahith Chong (LUT),5.0,4.5,-0.5
Eddie Nketiah (ARS),5.5,5.0,-0.5
Oliver Skipp (TOT),5.0,4.5,-0.5
Aaron Ramsdale (ARS),5.0,4.5,-0.5
Harrison Reed (FUL),5.0,4.4,-0.6
Marcus Rashford (MUN),9.0,8.4,-0.6
Carlton Morris (LUT),5.5,4.9,-0.6
